Name,Category,Film,Win_Oscar?,Year_Ceremony,Gender,Race or Ethnicity,Sexual orientation,Religion,Age
Richard Barthelmess,ACTOR,The Noose,False,1928,Male,White,Straight,Na,30
Emil Jannings,ACTOR,The Last Command,True,1928,Male,White,Bisexual,Na,40
Louise Dresser,ACTRESS,A Ship Comes In,False,1928,Female,White,Straight,Na,40
Janet Gaynor,ACTRESS,7th Heaven,True,1928,Female,White,Straight,Na,20
Gloria Swanson,ACTRESS,Sadie Thompson,False,1928,Female,White,Straight,Na,30
Lewis Milestone,DIRECTING,Two Arabian Knights,True,1928,Male,White,Straight,Na,30
Ted Wilde,DIRECTING,Speedy,False,1928,Male,White,Na,Na,30
Frank Borzage,DIRECTING,7th Heaven,True,1928,Male,White,Straight,Roman Catholic,30
Herbert Brenon,DIRECTING,Sorrell and Son,False,1928,Male,White,Straight,Na,40
King Vidor,DIRECTING,The Crowd,False,1928,Male,White,Straight,Na,30
George Bancroft,ACTOR,Thunderbolt,False,1929,Male,White,Straight,Na,40
Warner Baxter,ACTOR,In Old Arizona,True,1929,Male,White,Straight,Na,30
Chester Morris,ACTOR,Alibi,False,1929,Male,White,Straight,Na,20
Paul Muni,ACTOR,The Valiant,False,1929,Male,White,Straight,Jewish,30
Lewis Stone,ACTOR,The Patriot,False,1929,Male,White,Straight,Na,40
Ruth Chatterton,ACTRESS,Madame X,False,1929,Female,White,Straight,Na,30
Betty Compson,ACTRESS,The Barker,False,1929,Female,White,Straight,Na,30
Jeanne Eagels,ACTRESS,The Letter,False,1929,Female,White,Straight,Na,30
Corinne Griffith,ACTRESS,The Divine Lady,False,1929,Female,White,Straight,Na,30
Bessie Love,ACTRESS,The Broadway Melody,False,1929,Female,White,Straight,Na,30
Mary Pickford,ACTRESS,Coquette,True,1929,Female,White,Straight,Na,30
Lionel Barrymore,DIRECTING,Madame X,False,1929,Male,White,Straight,Roman Catholic,50
Harry Beaumont,DIRECTING,The Broadway Melody,False,1929,Male,White,Straight,Na,40
Irving Cummings,DIRECTING,In Old Arizona,False,1929,Male,White,Straight,Na,40
Frank Lloyd,DIRECTING,The Divine Lady,True,1929,Male,White,Straight,Na,40
Frank Lloyd,DIRECTING,Drag;,False,1929,Male,White,Straight,Na,40
Ernst Lubitsch,DIRECTING,The Patriot,False,1929,Male,White,Straight,Na,30
George Arliss,ACTOR,Disraeli,True,1930,Male,White,Straight,Na,60
George Arliss,ACTOR,The Green Goddess,False,1930,Male,White,Straight,Na,60
Wallace Beery,ACTOR,The Big House,False,1930,Male,White,Straight,Na,40
Maurice Chevalier,ACTOR,The Big Pond,False,1930,Male,White,Bisexual,Na,40
Ronald Colman,ACTOR,Bulldog Drummond,False,1930,Male,White,Straight,Na,30
Lawrence Tibbett,ACTOR,The Rogue Song,False,1930,Male,White,Straight,Na,30
Nancy Carroll,ACTRESS,The Devil's Holiday,False,1930,Female,White,Straight,Na,20
Ruth Chatterton,ACTRESS,Sarah and Son,False,1930,Female,White,Straight,Na,30
Greta Garbo,ACTRESS,Anna Christie,False,1930,Female,White,Bisexual,Protestant,20
Norma Shearer,ACTRESS,The Divorcee,True,1930,Female,White,Straight,Na,20
Norma Shearer,ACTRESS,Their Own Desire,False,1930,Female,White,Straight,Na,20
Gloria Swanson,ACTRESS,The Trespasser,False,1930,Female,White,Straight,Na,30
Clarence Brown,DIRECTING,Anna Christie;,False,1930,Male,White,Straight,Na,30
Robert Leonard,DIRECTING,The Divorcee,False,1930,Male,White,Straight,Jewish,40
Ernst Lubitsch,DIRECTING,The Love Parade,False,1930,Male,White,Straight,Na,30
Lewis Milestone,DIRECTING,All Quiet on the Western Front,True,1930,Male,White,Straight,Na,30
King Vidor,DIRECTING,Hallelujah,False,1930,Male,White,Straight,Na,30
Lionel Barrymore,ACTOR,A Free Soul,True,1931,Male,White,Straight,Roman Catholic,50
Jackie Cooper,ACTOR,Skippy,False,1931,Male,White,Straight,Na,0
Richard Dix,ACTOR,Cimarron,False,1931,Male,White,Straight,Na,30
Fredric March,ACTOR,The Royal Family of Broadway,False,1931,Male,White,Straight,Na,30
Adolphe Menjou,ACTOR,The Front Page,False,1931,Male,White,Straight,Na,40
Marlene Dietrich,ACTRESS,Morocco,False,1931,Female,White,Bisexual,Na,20
Marie Dressler,ACTRESS,Min and Bill,True,1931,Female,White,Straight,Na,60
Irene Dunne,ACTRESS,Cimarron,False,1931,Female,White,Straight,Na,30
Ann Harding,ACTRESS,Holiday,False,1931,Female,White,Straight,Na,20
